user,date,workout_name,trainer
mango,2024-11-16,Boxing Workout,Kevin Lee
mango,2024-11-16,Boxing Workout,Kevin Lee
mango,2024-11-16,Beginner Meditation Journey,Emma
mango,2024-11-16,Kickboxing Workout,Lisa Chen
mango,2024-11-16,Boxing Workout,Kevin Lee
mango,2024-11-16,Gentle Restorative Yoga,Sophia
mango,2024-11-16,Boxing Workout,Kevin Lee
mango,2024-11-16,Kickboxing Workout,Lisa Chen
hi,2024-11-16,Power Yoga Workout,Sarah Hill
hi,2024-11-16,Dance Fitness,Alice Johnson
hi,2024-11-16,Circuit Training Workout,Alex Reed
hi,2024-11-16,Core Strengthening Routine,Anna
hi,2024-11-16,Kickboxing Workout,Tom Brown
hi,2024-11-16,Kickboxing Workout,Jessica Garcia
hi,2024-11-16,Boxing Workout,Olivia Johnson
hi,2024-11-16,Kickboxing Workout,Lisa Chen
hi,2024-11-17,Circuit Training Workout,Ryan Edwards
mango,2024-11-17,Kickboxing Workout,Amy Lee
mango,2024-11-17,Boxing Workout,Kevin Lee
mango,2024-11-17,Moderate Cardio,Robert Lee
mango,2024-11-17,Power Yoga Workout,Katie Moore
mango,2024-11-17,Surya Namaskar,Michael Young
mango,2024-11-17,Beginner Meditation Journey,Emma
